北京市,500,900,300,300
天津市,500,500,600,600
上海市,800,1200,500,500
重庆市,200,300,800,800
河北省,800,1700,200,200
山西省,900,200,800,1200
辽宁省,500,1800,900,300
吉林省,1200,1900,500,1700
黑龙江省,300,900,1200,200
江苏省,1700,700,300,1800
浙江省,200,300,1700,1900
安徽省,1800,300,200,900
福建省,1900,600,1800,700
江西省,900,500,1900,300
山东省,700,800,500,600
河南省,300,200,1200,500
湖北省,600,800,300,800
湖南省,500,900,1700,200
广东省,800,500,200,800
海南省,200,1200,1800,900
四川省,800,300,1900,300
贵州省,900,1700,900,600
云南省,500,200,700,500
陕西省,1200,1800,300,800
甘肃省,300,1900,600,200
青海省,1700,1800,700,800
台湾省,200,1900,300,900
内蒙古自治区,1800,500,600,500
广西壮族自治区,1900,1200,500,1200
西藏自治区,900,300,800,300
宁夏回族自治区,700,1700,200,1700
新疆维吾尔自治区,300,200,800,200
香港特别行政区,600,1800,900,1800
澳门特别行政区,800,1900,300,1900
北京市,500,900,300,300
天津市,500,500,600,600
上海市,800,1200,500,500
重庆市,200,300,800,800
河北省,800,1700,200,200
山西省,900,200,800,1200
辽宁省,500,1800,900,300
吉林省,1200,1900,500,1700
黑龙江省,300,900,1200,200
江苏省,1700,700,300,1800
浙江省,200,300,1700,1900
安徽省,1800,300,200,900
福建省,1900,600,1800,700
江西省,900,500,1900,300
山东省,700,800,500,600
河南省,300,200,1200,500
湖北省,600,800,300,800
湖南省,500,900,1700,200
广东省,800,500,200,800
海南省,200,1200,1800,900
四川省,800,300,1900,300
贵州省,900,1700,900,600
云南省,500,200,700,500
陕西省,1200,1800,300,800
甘肃省,300,1900,600,200
青海省,1700,1800,700,800
台湾省,200,1900,300,900
内蒙古自治区,1800,500,600,500
广西壮族自治区,1900,1200,500,1200
西藏自治区,900,300,800,300
宁夏回族自治区,700,1700,200,1700新疆维吾尔自治区,300,200,800,2123*/7/*7/*/
香港特别行政区,600,11,23123,123,1111
澳门特别行政区,800,123.123,123123,123,1,23
北京市.1881.1.2.2.3.2
北京市,500,900,300,300
天津市500,500,600,600
上海市,800,1200,500,Aaaa
重庆市,200,300,800,800
河北省,800,1700,200,200
山西省,900,200,800,1200
辽宁省,500,1800,900,300
吉林省,1200,1900,,1700
黑龙江省,300,900,1200,200
江苏省,1700,700,300,1800
浙江省,200,*********,1700,1900
安徽省,1800,300,0,900
福建省,1900,600,1800,700
江西省,900,500,1900,300
山东省,700,800,500,600
河南省,300,200,1200,500
湖北省,600,800,300,800
湖南省,500,900,1700,200
广东省,800,500,200,800
海南省,200,1200,1800,900
四川省,800,300,1900,300
贵州省,900,1700,900,600
云南省,500,200,700,500
陕西省,1200,1800,300,800
甘肃省,300,1900,600,200
青海省,1700,1800,700,800
台湾省,200,1900,300,900
内蒙古自治区,1800,500,600,500
广西壮族自治区,1900,1200,500,1200
西藏自治区,900,300,800,300
宁夏回族自治区,700,1700,200,1700
新疆维吾尔自治区,300,200,800,200
香港特别行政区,600,1800,900,1800
澳门特别行政区,800,1900,300,1900
北京市,500,900,aaa,aaa
天津市,500,500,600,600
上海市,800,1aaa,500,500
重庆市,aaa,aaa,800,800
河北省,800,1700,aaa,aaa
山西省,900,aaa,800,1aaa
辽宁省,500,1800,900,aaa
吉林省,1aaa,1900,500,1700
黑龙江省,aaa,900,1aaa,aaa
江苏省,1700,700,aaa,1800
浙江省,aaa,aaa,1700,1900
安徽省,1800,aaa,aaa,900
福建省,1900,600,1800,700
江西省,900,500,1900,aaa
山东省,700,800,500,600
河南省,aaa,aaa,1aaa,500
湖北省,600,800,aaa,800
湖南省,500,900,1700,aaa
广东省,800,500,aaa,800
海南省,aaa,1aaa,1800,900
四川省,800,aaa,1900,aaa
贵州省,900,1700,900,600
云南省,500,aaa,700,500
陕西省,1aaa,1800,aaa,800
甘肃省,aaa,1900,600,aaa
青海省,1700,1800,700,800
台湾省,aaa,1900,aaa,900
内蒙古自治区,1800,500,600,500
广西壮族自治区,1900,1aaa,500,1aaa
西藏自治区,900,aaa,800,aaa
宁夏回族自治区,700,1700,aaa,1700
新疆维吾尔自治区,aaa,aaa,800,aaa
香港特别行政区,600,1800,900,1800
澳门特别行政区,800,1900,aaa,1900
